%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387112961866856,1923,1336387112961866856,,471,445,0.169580642
1336387113160341024,1924,1336387113160341024,,468,427,0.138568457
1336387113358814955,1925,1336387113358814955,,471,444,0.150512158
1336387113458051920,1926,1336387113458051920,,474,447,0.124465477
1336387113557288885,1927,1336387113557288885,,481,458,0.176784768
1336387113755761862,1928,1336387113755761862,,471,453,0.154510854
1336387113954236031,1929,1336387113954236031,,472,444,0.148194052
1336387114053472996,1930,1336387114053472996,,492,463,0.167358503
1336387114251947880,1931,1336387114251947880,,501,476,0.14160041
1336387114351183891,1932,1336387114351183891,,516,494,0.185569826
1336387114549659014,1933,1336387114549659014,,504,482,0.159008841
1336387114748131990,1934,1336387114748131990,,518,494,0.156702607
1336387114946605921,1935,1336387114946605921,,524,494,0.165292039
1336387115045842886,1936,1336387115045842886,,538,506,0.160418236
1336387115244317055,1937,1336387115244317055,,528,497,0.169787374
1336387115442791939,1938,1336387115442791939,,532,504,0.169756153
1336387115542027950,1939,1336387115542027950,,541,516,0.174006553
1336387115740501881,1940,1336387115740501881,,540,515,0.159541938
1336387115938976049,1941,1336387115938976049,,533,516,0.160873456
1336387116038213015,1942,1336387116038213015,,542,518,0.171792938
1336387116236685991,1943,1336387116236685991,,528,509,0.161138645
1336387116435160875,1944,1336387116435160875,,534,515,0.162006497
1336387116633633852,1945,1336387116633633852,,534,506,0.172277636
1336387116732871056,1946,1336387116732871056,,544,519,0.169113685
1336387116931344986,1947,1336387116931344986,,548,519,0.165495275
1336387117129819870,1948,1336387117129819870,,552,521,0.170140004
1336387117229055882,1949,1336387117229055882,,559,534,0.174274115
1336387117427531004,1950,1336387117427531004,,564,532,0.171892808
1336387117626003981,1951,1336387117626003981,,577,547,0.142023228
1336387117725240946,1952,1336387117725240946,,584,549,0.162319382
1336387117923713923,1953,1336387117923713923,,583,557,0.200434568
1336387118122189045,1954,1336387118122189045,,591,566,0.187341212
1336387118320662022,1955,1336387118320662022,,602,575,0.18749605
1336387118519135952,1956,1336387118519135952,,610,589,0.181043759
1336387118717609882,1957,1336387118717609882,,616,588,0.177771772
1336387118916084051,1958,1336387118916084051,,617,595,0.188701373
1336387119114557028,1959,1336387119114557028,,622,585,0.161572292
1336387119213794947,1960,1336387119213794947,,618,603,0.188661212
1336387119412267923,1961,1336387119412267923,,616,593,0.189035072
1336387119610741854,1962,1336387119610741854,,615,587,0.184923096
1336387119809216022,1963,1336387119809216022,,614,594,0.181969157
1336387120007689953,1964,1336387120007689953,,614,593,0.180775226
1336387120206162930,1965,1336387120206162930,,615,589,0.188628666
1336387120404638052,1966,1336387120404638052,,617,589,0.153688468
1336387120603111982,1967,1336387120603111982,,608,581,0.162769095
1336387120702347994,1968,1336387120702347994,,608,576,0.20201759
1336387120900821924,1969,1336387120900821924,,596,566,0.180445849
1336387121099297047,1970,1336387121099297047,,586,561,0.177617282
1336387121297770023,1971,1336387121297770023,,588,558,0.175589505
1336387121496243954,1972,1336387121496243954,,586,562,0.172341119
1336387121694717884,1973,1336387121694717884,,604,564,0.177589415
1336387121793954849,1974,1336387121793954849,,616,594,0.184385106
1336387121992429018,1975,1336387121992429018,,615,590,0.183397623
1336387122190901995,1976,1336387122190901995,,616,589,0.174251634
1336387122389376879,1977,1336387122389376879,,617,595,0.177354745
1336387122587849855,1978,1336387122587849855,,616,593,0.181117164
